config_id,family,ell,alpha,eta_out,corr_out,E_roi,core_ratio,barrier_reduction_pct,pass_hard,J
lg_l1_w0.4_cos,lg,1,0.05,0.005110468588754695,0.9999736742346992,0.072551799690593,0.5755308720818911,-0.2023533793061194,True,0.41070690885369876
lg_l1_w0.4_cos,lg,1,0.1,0.010220937177509389,0.9998945566959376,0.072551799690593,0.5755308720818911,-0.4044737485402683,True,0.35959035533533756
lg_l1_w0.4_cos,lg,1,0.2,0.02044187435501878,0.9995775623153184,0.072551799690593,0.5755308720818911,-0.8079495251719804,False,-1.0
lg_l1_w0.4_cos,lg,1,0.4,0.04088374871003756,0.99830460505602,0.072551799690593,0.5755308720818911,-1.611841231088862,False,-1.0
lg_l1_w0.4_f1.5_cos,lg,1,0.05,0.004929416330526642,0.9999770087481779,0.10095039798605626,0.6332404672085135,-0.21291501224329767,True,0.42106032106503244
lg_l1_w0.4_f1.5_cos,lg,1,0.1,0.009858832661053285,0.9999079598948323,0.10095039798605626,0.6332404672085135,-0.4258599512435346,True,0.37175580043176415
lg_l1_w0.4_f1.5_cos,lg,1,0.2,0.019717665322106573,0.9996316888475232,0.10095039798605626,0.6332404672085135,-0.8517736778937524,True,0.273126033164135
lg_l1_w0.4_f1.5_cos,lg,1,0.4,0.039435330644213146,0.9985274401742741,0.10095039798605626,0.6332404672085135,-1.7036965257934522,False,-1.0
lg_l1_w0.4_f2.0_cos,lg,1,0.05,0.004959679461655762,0.9999762887263094,0.0941707928787576,0.6156087203544067,-0.2221960272096979,True,0.4186218868022835
lg_l1_w0.4_f2.0_cos,lg,1,0.1,0.009919358923311526,0.9999050678679535,0.0941707928787576,0.6156087203544067,-0.4443625254148209,True,0.3690144090569726
lg_l1_w0.4_f2.0_cos,lg,1,0.2,0.019838717846623048,0.9996200343276523,0.0941707928787576,0.6156087203544067,-0.8885410031903573,True,0.2697780647928122
lg_l1_w0.4_f2.0_cos,lg,1,0.4,0.0396774356932461,0.9984792146950563,0.0941707928787576,0.6156087203544067,-1.7762798842025473,False,-1.0
lg_l1_w0.4_f2.5_cos,lg,1,0.05,0.004981976244687727,0.9999758205885931,0.0898391012353922,0.6043047323106197,-0.2238792290878422,True,0.41703332613937055
lg_l1_w0.4_f2.5_cos,lg,1,0.1,0.009963952489375453,0.9999031870303006,0.0898391012353922,0.6043047323106197,-0.4476902124592286,True,0.3672026686587494
lg_l1_w0.4_f2.5_cos,lg,1,0.2,0.01992790497875091,0.9996124454942734,0.0898391012353922,0.6043047323106197,-0.8950415104315601,True,0.26751953253459076
lg_l1_w0.4_f2.5_cos,lg,1,0.4,0.03985580995750182,0.9984478546860717,0.0898391012353922,0.6043047323106197,-1.7886614312947025,False,-1.0
lg_l1_w0.6_cos,lg,1,0.05,0.005631988974745315,0.9999681119522621,0.0730669741786661,0.697700320533672,-0.3255670679212619,True,0.47938457860339445
lg_l1_w0.6_cos,lg,1,0.1,0.011263977949490628,0.9998724383404168,0.0730669741786661,0.697700320533672,-0.6514386236595282,True,0.42305033781416446
lg_l1_w0.6_cos,lg,1,0.2,0.022527955898981253,0.9994901862017929,0.0730669741786661,0.697700320533672,-1.3040292669662445,False,-1.0
lg_l1_w0.6_cos,lg,1,0.4,0.045055911797962506,0.997966026163479,0.0730669741786661,0.697700320533672,-2.61260068090039,False,-1.0
lg_l1_w0.6_f1.5_cos,lg,1,0.05,0.005302876255290864,0.9999736001252474,0.14396677562808874,0.739175077874745,-0.46476232899703707,True,0.4307276702011145
lg_l1_w0.6_f1.5_cos,lg,1,0.1,0.010605752510581731,0.9998944131622476,0.14396677562808874,0.739175077874745,-0.9305734592514936,True,0.3776870296037559
lg_l1_w0.6_f1.5_cos,lg,1,0.2,0.021211505021163462,0.999578258806209,0.14396677562808874,0.739175077874745,-1.8652761919116356,False,-1.0
lg_l1_w0.6_f1.5_cos,lg,1,0.4,0.042423010042326924,0.9983205938721282,0.14396677562808874,0.739175077874745,-3.7470035458369244,False,-1.0
lg_l1_w0.6_f2.0_cos,lg,1,0.05,0.00529851279023674,0.9999730305969935,0.12916883002039642,0.7186097374261032,-0.4683076785279683,True,0.4265575995092786
lg_l1_w0.6_f2.0_cos,lg,1,0.1,0.010597025580473481,0.9998921369204622,0.12916883002039642,0.7186097374261032,-0.9375218153327314,True,0.3735603375554315
lg_l1_w0.6_f2.0_cos,lg,1,0.2,0.021194051160946966,0.9995691526930406,0.12916883002039642,0.7186097374261032,-1.8786035321518568,False,-1.0
lg_l1_w0.6_f2.0_cos,lg,1,0.4,0.042388102321893925,0.9982840833864512,0.12916883002039642,0.7186097374261032,-3.771380738628327,False,-1.0
lg_l1_w0.6_f2.5_cos,lg,1,0.05,0.005319411235563309,0.9999724887889698,0.11864847101935486,0.7099978517590937,-0.45778616884168954,True,0.42350314689287377
lg_l1_w0.6_f2.5_cos,lg,1,0.1,0.010638822471126616,0.9998899692149887,0.11864847101935486,0.7099978517590937,-0.9163767069804818,True,0.3702966566011435
lg_l1_w0.6_f2.5_cos,lg,1,0.2,0.021277644942253236,0.9995604740748798,0.11864847101935486,0.7099978517590937,-1.8359049595284116,False,-1.0
lg_l1_w0.6_f2.5_cos,lg,1,0.4,0.042555289884506464,0.9982492782987399,0.11864847101935486,0.7099978517590937,-3.6843501697054526,False,-1.0
