config_id,family,ell,offset_x_mm,apod,beam_waist_mm,focal_length_mm,k_r,eta_out,corr_out,E_roi,core_ratio,core_min_Pa,peak_roi_Pa,w_1.0lam,w_1.5lam,w_2.0lam,winding_std,centroid_x_mm,centroid_y_mm,core_x_mm,core_y_mm,trap_crosstalk_mean_pct,trap_crosstalk_max_pct,barrier_reduction_pct,pass_hard,J
lg_l1_w0.4_cos,lg,1,0.0,cosine_taper,0.4,nan,nan,0.02044187435501878,0.9995775623153184,0.072551799690593,0.5755308720818911,0.009840998568238083,0.2677111335465392,-1.0,0.0,-1.0,0.4714045207910313,2.9911247675902737,3.0547653718655035,2.4893969849246234,2.4893969849246234,1.3444050839024628,6.63377201464015,-0.8079495251719804,False,-1.0
lg_l1_w0.4_f1.5_cos,lg,1,0.0,cosine_taper,0.4,1.5,nan,0.019717665322106573,0.9996316888475232,0.10095039798605626,0.6332404672085135,0.01014101667336435,0.3027083668158935,-0.0,0.0,-1.0,0.47140452079103146,2.9844282557233743,3.0508886492333014,1.8993668341708545,2.9659597989949753,1.1859866240629502,6.015237970444831,-0.8517736778937524,True,0.273126033164135
lg_l1_w0.4_f2.0_cos,lg,1,0.0,cosine_taper,0.4,2.0,nan,0.019838717846623048,0.9996200343276523,0.0941707928787576,0.6156087203544067,0.011785015852115357,0.29201485841577096,0.0,-0.0,-1.0,0.4714045207910319,2.985975945056467,3.0520955873595694,2.6936381909547746,3.714844221105528,1.2195800510275665,6.158235162241914,-0.8885410031903573,True,0.2697780647928122
lg_l1_w0.4_f2.5_cos,lg,1,0.0,cosine_taper,0.4,2.5,nan,0.01992790497875091,0.9996124454942734,0.0898391012353922,0.6043047323106197,0.011875360523817009,0.2851985066123297,-0.0,0.0,-1.0,0.47140452079103146,2.986986494124215,3.0527982690854993,2.6936381909547746,3.714844221105528,1.2426438612184227,6.245684230400646,-0.8950415104315601,True,0.26751953253459076
lg_l1_w0.6_cos,lg,1,0.0,cosine_taper,0.6,nan,nan,0.022527955898981253,0.9994901862017929,0.0730669741786661,0.697700320533672,0.0015859277391605863,0.34281797174768663,-1.0,-1.0,1.0,3.510833468576701e-16,2.988619322885373,3.037373005779069,2.852492462311558,4.100633165829147,1.5217073259496072,5.94339367962273,-1.3040292669662445,False,-1.0
lg_l1_w0.6_f1.5_cos,lg,1,0.0,cosine_taper,0.6,1.5,nan,0.021211505021163462,0.999578258806209,0.14396677562808874,0.739175077874745,0.004803090264050674,0.39729909195320345,0.0,1.0,1.0,0.47140452079103173,2.977368743337655,3.039868454908385,3.4425226130653273,2.4893969849246234,1.2283849955740034,5.477751871325371,-1.8652761919116356,False,-1.0
lg_l1_w0.6_f2.0_cos,lg,1,0.0,cosine_taper,0.6,2.0,nan,0.021194051160946966,0.9995691526930406,0.12916883002039642,0.7186097374261032,0.006564613529080376,0.3797687061872403,-0.0,1.0,1.0,0.4714045207910313,2.9792863049143454,3.040017201334277,3.4425226130653273,2.4893969849246234,1.28655968189548,5.414503498406179,-1.8786035321518568,False,-1.0
lg_l1_w0.6_f2.5_cos,lg,1,0.0,cosine_taper,0.6,2.5,nan,0.021277644942253236,0.9995604740748798,0.11864847101935486,0.7099978517590937,0.0037298982528338504,0.3704786735591032,-0.0,1.0,1.0,0.47140452079103146,2.9807097495169677,3.0399552485801364,1.8993668341708545,2.8751859296482416,1.3241460562263698,5.416019104691208,-1.8359049595284116,False,-1.0
lg_l1_w0.8_cos,lg,1,0.0,cosine_taper,0.8,nan,nan,0.02355288453843263,0.9994551471139568,0.08547864045318596,0.7657069383986884,0.010981066086989094,0.38380183240955407,0.0,0.0,1.0,0.47140452079103173,2.978566752894105,3.016059036497676,1.8993668341708545,2.852492462311558,1.555044476112131,4.9159368013720295,-1.5642463189885047,False,-1.0
lg_l1_w0.8_f1.5_cos,lg,1,0.0,cosine_taper,0.8,1.5,nan,0.021872818783688696,0.9995508392377189,0.18040005417291521,0.8153245370631466,0.010975414062394632,0.4676391430722521,1.0,1.0,1.0,1.5700924586837752e-16,2.9716045898899344,3.030549961242323,2.7844120603015083,3.9871658291457295,1.2300561208890428,4.795056466096875,-2.5178552943061927,False,-1.0
