run_id,timestamp,mode,physical_size_mm,requested_epl,mesh_nx,mesh_ny,mesh_nz,dofs,mesh_time_s,solve_time_s,total_wall_time_s,mumps_out_of_core,mumps_mem_mb,max_p_Pa,z_star_mm,wavelength_mm,n_traps_roi,eps_L2_roi,pml_n_wavelengths_xy,pml_n_wavelengths_z,pml_sigma_max_factor,npz_path
conv_epl2.00_convergence_phys4.0mm_20260415_183732,20260415_183732,convergence,4.0,2.0,20,20,20,68921,0.06,4.1,4.14,1,20000,1424.2649,6.1726,0.6902,37,8.777468e+00,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl2.00_convergence_phys4.0mm_20260415_183732.npz
conv_epl3.00_convergence_phys4.0mm_20260415_183717,20260415_183717,convergence,4.0,3.0,23,23,30,134749,0.12,9.77,9.84,1,20000,191.1303,6.1726,0.6902,48,2.316463e+00,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl3.00_convergence_phys4.0mm_20260415_183717.npz
conv_epl3.50_convergence_phys4.0mm_20260415_183654,20260415_183654,convergence,4.0,3.5,27,27,35,214775,0.19,19.43,19.58,1,20000,222.2708,6.1726,0.6902,39,2.196992e+00,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl3.50_convergence_phys4.0mm_20260415_183654.npz
conv_epl4.00_convergence_phys4.0mm_20260415_183614,20260415_183614,convergence,4.0,4.0,31,31,40,321489,0.29,35.95,36.19,1,20000,161.0246,6.1726,0.6902,48,4.268670e-01,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl4.00_convergence_phys4.0mm_20260415_183614.npz
conv_epl4.0_convergence_phys4.0mm_20260323_191301,20260323_191301,convergence,4.0,4.0,31,31,40,321489,0.31,33.43,34.14,1,20000,161.0246,6.1726,0.6902,48,4.268670e-01,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl4.0_convergence_phys4.0mm_20260323_191301.npz
conv_epl4.25_convergence_phys4.0mm_20260415_183522,20260415_183522,convergence,4.0,4.25,33,33,43,390543,0.36,47.58,47.87,1,20000,129.1468,6.1726,0.6902,49,2.774878e-01,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl4.25_convergence_phys4.0mm_20260415_183522.npz
conv_epl4.50_convergence_phys4.0mm_20260415_183415,20260415_183415,convergence,4.0,4.5,35,35,45,458731,0.42,63.27,63.63,1,20000,98.9525,6.1726,0.6902,47,8.970667e-01,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl4.50_convergence_phys4.0mm_20260415_183415.npz
conv_epl4.75_convergence_phys4.0mm_20260415_183246,20260415_183246,convergence,4.0,4.75,37,37,48,545625,0.53,83.87,84.29,1,20000,90.7447,6.1726,0.6902,47,5.794232e-01,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl4.75_convergence_phys4.0mm_20260415_183246.npz
conv_epl5.00_convergence_phys4.0mm_20260415_183054,20260415_183054,convergence,4.0,5.0,38,38,50,598829,0.6,106.82,107.28,1,20000,107.4335,6.1726,0.6902,47,2.271348e-01,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl5.00_convergence_phys4.0mm_20260415_183054.npz
conv_epl5.0_convergence_phys4.0mm_20260323_191345,20260323_191345,convergence,4.0,5.0,38,38,50,598829,0.61,91.3,92.64,1,20000,107.4335,6.1726,0.6902,47,2.271348e-01,1.0,1.0,5.0,results/mesh_convergence_study/conv_epl5.0_convergence_phys4.0mm_20260323_191345.npz
