run_id,timestamp,mode,physical_size_mm,requested_epl,mesh_nx,mesh_ny,mesh_nz,dofs,mesh_time_s,solve_time_s,total_wall_time_s,mumps_out_of_core,mumps_mem_mb,max_p_Pa,z_star_mm,wavelength_mm,n_traps_roi,first_centreline_min_x_mm,centreline_min_spacing_mm,eps_L2_full,eps_L2_roi,eps_gorkov_roi,trap_pos_err_m,trap_pos_err_pct_halfwav,trap_spacing_err_pct,pml_n_wavelengths_xy,pml_sigma_max_factor,npz_path
conv_epl5.0_convergence_phys3.0mm_20260323_175255,20260323_175255,convergence,3.0,5.0,31,31,50,400869,0.39,43.74,44.57,1,20000,82.3985,6.1726,0.6902,24,1.4628,0.3612,,,,,,,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl5.0_convergence_phys3.0mm_20260323_175255.npz
conv_epl2.0_convergence_phys3.0mm_20260323_175516,20260323_175516,convergence,3.0,2.0,20,20,20,68921,0.06,3.85,3.98,1,20000,146.3875,6.1726,0.6902,25,1.8641,0.6421,1.830059e+00,2.009250e+00,2.986921e+00,4.013378e-04,116.2906,77.7778,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl2.0_convergence_phys3.0mm_20260323_175516.npz
conv_epl3.0_convergence_phys3.0mm_20260323_175524,20260323_175524,convergence,3.0,3.0,20,20,30,102541,0.09,6.11,6.32,1,20000,104.6014,6.1726,0.6902,28,1.5230,0.5117,8.528470e-01,8.481930e-01,4.430183e-01,6.020067e-05,17.4436,41.6667,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl3.0_convergence_phys3.0mm_20260323_175524.npz
conv_epl3.5_convergence_phys3.0mm_20260323_175533,20260323_175533,convergence,3.0,3.5,22,22,35,143775,0.13,9.41,9.65,1,20000,101.028,6.1726,0.6902,25,1.7939,0.3913,6.803157e-01,6.949384e-01,4.170621e-01,3.311037e-04,95.9397,8.3333,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl3.5_convergence_phys3.0mm_20260323_175533.npz
conv_epl4.0_convergence_phys3.0mm_20260323_175547,20260323_175547,convergence,3.0,4.0,25,25,40,210681,0.19,15.99,16.33,1,20000,85.2762,6.1726,0.6902,35,1.4427,0.3779,6.842182e-01,6.811412e-01,3.909518e-01,2.006689e-05,5.8145,4.6296,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl4.0_convergence_phys3.0mm_20260323_175547.npz
conv_epl4.5_convergence_phys3.0mm_20260323_175607,20260323_175607,convergence,3.0,4.5,28,28,45,295659,0.28,31.7,32.28,1,20000,80.8646,6.1726,0.6902,26,1.4528,0.3662,1.484195e-01,1.183213e-01,8.261887e-02,1.003344e-05,2.9073,1.3889,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl4.5_convergence_phys3.0mm_20260323_175607.npz
conv_epl5.0_production_phys5.4mm_20260323_180304,20260323_180304,production,5.4,5.0,49,49,50,989901,1.08,45.72,47.91,1,20000,inf,6.1726,0.6902,0,,,,,,,,,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl5.0_production_phys5.4mm_20260323_180304.npz
conv_epl5.0_production_phys5.4mm_20260323_180626,20260323_180626,production,5.4,5.0,49,49,50,989901,1.04,53.47,55.63,1,0,inf,6.1726,0.6902,0,,,,,,,,,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl5.0_production_phys5.4mm_20260323_180626.npz
conv_epl4.0_production_phys5.4mm_20260323_182427,20260323_182427,production,5.4,4.0,39,39,40,505521,0.58,69.98,71.16,1,20000,113.8201,6.1726,0.6902,81,2.3568,0.3463,0.000000e+00,0.000000e+00,,,,,1.0,5.0,/home/js23252/Desktop/acousto-tweezers/results/mesh_convergence_study/conv_epl4.0_production_phys5.4mm_20260323_182427.npz
