epl_coarse,epl_fine,h_coarse,h_fine,h_ratio,p_obs_L2_roi,p_obs_spacing,p_obs_trap_pos
2.0000,2.0000,0.0003,0.0003,1.0000,,,
2.0000,3.0000,0.0003,0.0002,1.5000,2.1270,-0.8172,-0.5186
3.0000,3.0000,0.0002,0.0002,1.0000,,,
3.0000,3.5000,0.0002,0.0002,1.1667,1.2928,16.6392,4.1341
3.5000,3.5000,0.0002,0.0002,1.0000,,,
3.5000,4.0000,0.0002,0.0002,1.1429,0.1502,4.4019,3.1261
4.0000,4.0000,0.0002,0.0002,1.0000,,,
4.0000,4.5000,0.0002,0.0002,1.1250,14.8609,10.2220,-1.1054
4.5000,4.5000,0.0002,0.0002,1.0000,,,
